Unnamed: 0,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset,LSTM_PROB,LSTM_PREDICT
24,Customer Assistant,"CA, AB, ",,,,"<p>Job Description: We are looking for customer assistants who will work in our company. They should have at least 2 years experience in the post. It also provides training (2 weeks with paid wages). Now we have the opportunity to obtain contracts. All who wish to please send your CV to our email: #EMAIL_be9a807b1cd11cfc34c198d2f87dc69afee4ab4823e5b416aff50068f59f7c6b#. You will contact one of our managers.</p>
<p></p>","<p>Skills/Qualifications:<br>- Post-secondary education is required<br>- Present yourself and conduct yourself to the highest professional standards.<br>- Previous experience (2+ years) in Customer Service is required<br>- Previous experience in a business-to-business environment is required.<br>- Be diligent, execution oriented, and Results-oriented with a high energy level and positive attitude.<br>- Have a strong sense of ownership and a healthy dislike of disorder<br>- Perfect fluency in English is required. Additional languages are helpful.<br>- Excellent communication skills, both written and verbal, are required</p>",,t,f,f,,,,,,t,t,0.9784909,1
27,"Agency Sales Managers $150-$175,000/yr","US, NY, Plattsburgh",,,"<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p>","<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p><p><b>We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.</b><br><b>We are seeking skilled Agency Managers to grow with us and help us achieve our goals in this new and exciting industry.</b><br><b>This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.</b><br><b>Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.</b></p>","<p><b><i>Experience and Skills ÃÂÃÂ Required</i></b><br><br>- Minimum of 3 years of sales experience<br>- Ability to work in a home office environment<br>- Exceptional speaking, writing, and negotiation skills<br>- You must be a motivated self starter and instil that others<br>- College degree</p>","<p>- Complete online training and office support<br>- Flexible working environment<br>- An exciting and lucrative opportunity for those with a proven results background<br>- Rapid advancement for those highly motivated<br>- Average yearly income of $150-$175,000 based on our straight commission compensation model</p>",f,t,f,Full-time,,High School or equivalent,Financial Services,Sales,t,t,0.13257734,0
28,"Account Sales Managers $80-$130,000/yr","US, NY, Rochester",,,"<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p>","<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p><p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We are seeking skilled Agency Managers to grow with us and help us achieve our goals. Our Agency Managers work from their own home office while overlooking a team of Account Managers and acquiring their own clients.</p>
<p>This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.</p>
<p>Our people enjoy a flexible work environment. High earnings potential with great incentives.</p>
<p></p>
<p><br><br></p>","<p><b><i>Experience and Skills ÃÂÃÂ Required</i></b></p>
<p><br>- Minimum of 3 years of sales management experience</p>
<p>- Ability to work in a home office environment</p>
<p>- Exceptional speaking, writing, and negotiation skills</p>
<p>- You must be a motivated self starter and instil that in others</p>
<p>- Experience in hiring and training individuals</p>
<p>- College degree</p>","<p></p>
<p><i><b>We Provide</b></i></p>
<p>- Complete online training and office support</p>
<p>- Flexible working environment</p>
<p>- An exciting and lucrative opportunity for those with a proven results background</p>
<p>- Average yearly income of $150-$175,000 based on our straight commission compensation model</p>",f,t,f,Full-time,,High School or equivalent,Financial Services,Sales,t,t,0.7087319,1
29,"Agency Sales Managers $150-$175,000/yr","US, NY, Chautauqua",,,"<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p>","<p>We have aggressive growth plans in place for the coming years. We provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients.</p>
<p>We, at Oak Tree Financing, commit our energies, intellect and knowledge to helping small and medium size business owners and entrepreneurs with extraordinary financing solutions to clients. We believe in providing the highest possible level of service and delivering superior results. We are committed to their financial well-being. With 67% of the population having No Credit or Bad Credit our financing products have helped business owners increase their sales on average by 30%.</p><p><b>We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.</b><br><b>We are seeking skilled Account Managers to grow with us and help us achieve our goals in this new and exciting industry.</b><br><b>This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.</b><br><b>Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.</b></p>","<p><b><i>Experience and Skills ÃÂÃÂ Required</i></b><br><br>- Minimum of 3 years of sales experience<br>- Ability to work in a home office environment<br>- Exceptional speaking, writing, and negotiation skills<br>- You must be a motivated self starter and instil that others<br>- College degree</p>","<p><i><b>We Provide</b></i><br>- Complete online training and office support<br>- Flexible working environment<br>- An exciting and lucrative opportunity for those with a proven results background<br>- Rapid advancement for those highly motivated<br>- Average yearly income of $150-$175,000 based on our straight commission compensation model</p>",f,t,f,Full-time,Associate,High School or equivalent,Financial Services,Sales,t,t,0.1292663,0
31,Earn a nice part time PAY!,"US, , ",,,,"<p>We have the demand. We are looking for people that are quick learners, and are very efficient, to handle the demand. <br><br>We have the best mortgage protection program in the business, and we have serious demand nationwide; especially in the 703/202/301 area. After all, we are in a market where 95% of all Americans, if they added up all the insurances that they hold, would not have enough to cover their mortgage. Can you imagine a product that everybody NEEDS (not just wants), and all you have to do is meet with people that have already requested our service. No Cold Calling or Door Knocking! <br><br><br>We are looking for someone that is very professional and is able to learn quickly, because you can't make six figures in a year by moving slowly. We will train you in every aspect of the business, and will show you how to personally produce a monthly commission of at least 7,000-10,000. We have the tools, and we are looking to bring on someone that we can groom into management. You will learn this business, and eventually we plan to teach you how to build a strong staff, that you will train to move product the same way that you do. This combination should easily push you into a yearly compensation of 150k+ within your first 3 years in the business if you move at a steady pace. Industry experience is not necessary, but a track record of success is. <br><br><br>Our company mails out over 1.5 million letters each week and our homeowners fill out a questionnaire and mail back the request for coverage to us. We simply call that exclusive lead and set up an appointment with them. We meet the customer in their home and go over what type of mortgage protection the homeowner needs and then write up the policy. We also market and promote fixed indexed annuities that solve most of the baby boomers retirement issues. <br><br><br>We have many full time agents making over 6 and 7 figure incomes! We are primarily looking for those that desire to move into management, though, if you are looking for part time or full time warm sales, please send your resume as well. We have a serious demand all over the 703/202/301 area that consistently outweighs our number of agents. <br><br><br>Typically our employees make 30k+ part time, 75-100k full time, 100k+ Management. Though, we design a specific plan to make sure you hit whatever compensation YOU seriously desire, and are willing to work for. <br><br>What we are looking for: <br>* A passion to honestly help families. <br>* Positive attitude with a strong desire to become wealthy. <br>* A person who can follow a step by step selling system. <br><br><br>What we are not looking for: <br>*Someone who isn't accountable to their word. <br>*Someone who says they are a great salesman, but doesn't have a penny to their name. <br>*Someone who has had a recent foreclosure or bankruptcy (you can't get licensed in those cases) <br><br>We need you and you need us. Contact us with your resume (preferred), or call the Hiring ManagerÃÂÃÂ  with your information for possible interview.<br><br>ÃÂ¢ÃÂÃÂ¢ÃÂÃÂ ÃÂÃÂ ÃÂÃÂ  Compensation: 30k+ part time, 75-100k full time, 100k+ Management</p>",,,f,f,f,,,,,,t,t,0.09315174,0
32,Administrative Assitstant,"US, NY, New York",Administrative,21-63000,,"<p>Experienced, reliable team members are needed for our Administrative Assistant needed! We are currently searching for candidates with previous experience and/or motivated quick learners. These positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. This is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance.<br><br>Key Aspects of Position:<br><br>Provide extraordinary service to our customers at all times.<br>Work as part of a Customer Service team.<br>Other duties as assigned.</p>","<p>6 months to a year experience working in a fast pace, back to back call handling in a call center environment.<br>High comfort level with computer-based<br>ÃÂÃÂ work. Google applications knowledge and Netsuite or similar CRM/Ticketing software a plus.<br>Must be able to multitask between various web applications.<br>Passionate about providing stellar service to customers.<br>The ability to be as friendly and helpful at the end of an 8-hour shift as in the beginning of the shift.<br>Ability to work at a fast pace while maintaining accuracy.<br>Great attention to detail, and a high sense of urgency.<br>Excellent written and verbal communication skills.<br>Ability to work various shifts during a 24 hour period, as schedules may vary from week to week. <br>: Solid record of good attendance at prior employer's references.<br><br>All applications must be received online. No walk-ins or phone calls accepted. Due to the volume of applicants, we are unable to accept phone or emailÃÂÃÂ  inquiries on application status. Applicants must follow these requirements in order to be considered.</p>","<p>Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company Discounts</p>",f,f,f,Full-time,Entry level,Bachelor's Degree,Telecommunications,Administrative,t,t,0.93269736,1
33,DATA ENTRY/RECEPTIONIST,"US, OH,  COLUMBUS",,,,"<p>Our companyÃÂÃÂ ÃÂÃÂ is seeking applications for a (temporary) full time motivated Data Entry/Receptionist. On a daily basis, the receptionist will be responsible for answering phones, and assisting visitors. Other responsibilities may be assigned as well. To qualify for this position, applicants must have excellent telephone etiquette, experience working with Microsoft Office programs, and multitasking skills.</p>",,,f,f,f,Full-time,Entry level,,Accounting,Administrative,t,t,0.98396534,1
34,Receptionist/Office Services Clerk,"US, CA, Los Angeles",,,,"<p>Responsibilities include:</p>
<p>ÃÂÃÂ </p>
<ul>
<li>Answering phones and directing office visitors</li>
<li>Copying and scanning documents</li>
<li>Maintaining the conference room including cleaning, delivering food and drink</li>
<li>Sorting and delivering mail</li>
<li>Ordering, organizing and delivering supplies</li>
<li>Maintaining copy machines and clearing paper jams as well as stocking copiers, faxes and printers with paper</li>
<li>Maintaining kitchen including cleaning, stocking supplies and preparing coffee</li>
<li>Lifting and carrying boxes of documents weighing 10-30 pounds on a frequent basis</li>
<li>Perform other duties as requested, including, but not limited to watering plants, delivering newspapers, assisting in office services duties and cleaning offices</li>
<li>May coordinate and communicate with parties outside the Firm such as vendors as well as attorneys, secretaries, paralegals, case assistants, managers and other staff in-house</li>
<li>Works overtime hours as needed</li>
<li>Other duties as assigned</li>
</ul>","<p>Skills/ÃÂ¢ÃÂÃÂQualifications include:</p>
<p>ÃÂÃÂ </p>
<ul>
<li>High school diploma</li>
<li>Preferred areas of work experience includes receptionist, clerical or mailroom</li>
<li>Excellent communication skills</li>
<li>Strong computer skills and experience scanning documents</li>
<li>Ability to communication persuasively and interact effectively with employees and vendors with varied backgrounds and levels of responsibility</li>
<li>Ability to juggle multiple projects and respond quickly to changing priorities</li>
</ul>","<p></p>
<p>We offer a friendly, business casual environment with competitive salary and benefits package.ÃÂ¢ÃÂÃÂ</p>",f,f,t,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,t,t,0.35067812,0
36,COMPANY REPRESENTATIVE NEEDED,"US, NY, mumford",,,,<p>Our motherless world for Charity location has an immediate part-time opening for a Company Representative. Must be available weekdays and weekends. Wage: $10 per hour. Must be at least 18 years old. Must have some experience. Be authorized to work in the United #URL_621ecc6fa2b9373499da4ba5ee79700d59706de03cf260ff4122443159b609a1# someone to help collect funds from creditors</p>,<p>must have a paypal account.</p>,<p>bonus will be given base on base on the amount help to collect.</p>,f,f,t,Contract,Not Applicable,High School or equivalent,Civic & Social Organization,Finance,t,t,0.9915871,1
40,Call Center Representative,"US, TX, DALLAS",,1000-2000,,"<ol>
<li>
Answer Call Center incoming telephone calls, e-mail inquiries and instant message chats from clients and participants in a professional, courteous and timely manner.
</li>
<li>
Improve client satisfaction by providing high quality Customer Service and timely follow up and resolution of participant issues.
</li>
<li>
Identify benefit information and provide accurate and thorough information to all internal and external clients.
</li>
<li>
Document all calls in the designated call log to ensure timely follow up and problem resolution.
</li>
<li>
Answer all calls within two rings.
</li>
</ol>","<p>Education and/or Experience-ÃÂÃÂ College degree or equivalent experience in benefit administration.</p>
<ul>
<li>Must have ÃÂÃÂ at least two years experience in call center environment, outbound calling preferred.</li>
<li>Excellent communication skills</li>
</ul>","<p><b>Compensation/benefits package includes:</b></p>
<ul>
<li>Comprehensive benefits package, including a 401k with matching</li>
<li>Competitive wages, based on education and experience</li>
</ul>",f,f,f,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,t,t,0.6703107,1
