,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
361,Talent Manager,"IE, L, Dublin",,,"<p>Intercom (<a href=""#URL_4bab690e40037c40a5ec7311e43af6397bd00bf130a06a2d90896e5684797f7a#"" rel=""nofollow"" class=""external"">#URL_cb674f93cbcd215a3a0a57a8615a565545949eead8adbbc73307c26d6a6af81b#</a>) is a simple, personal messaging service for businesses and their customers. It provides a single, integrated platform for the whole company to use for support, marketing, product, sales communication and more.</p>
<p>WeÃ¢ÂÂre on a mission to make web and mobile business personal. We believe that the future of customer communication requires not increasingly complex, impersonal point solutions, but rather a simple, seamless platform that applies innovations found in consumer services like Facebook and WhatsApp.</p>
<p></p>
<p>Founded in late 2011, Intercom has raised over $30 million in venture capital and is backed by leading investors, The Social+Capital Partnership and Bessemer Venture Partners. Intercom has been adopted by thousands of businesses, including Heroku, Hootsuite, Rackspace, Yahoo! and Perfect Audience. Our customers love the product:ÃÂ <a href=""#URL_18cc302f4e0f1dac521853b2a6ae109ebbe44c6130d31eb0413535ba71e2f42f#"" rel=""nofollow"" class=""external"">#URL_18cc302f4e0f1dac521853b2a6ae109ebbe44c6130d31eb0413535ba71e2f42f#</a><a href=""#URL_18cc302f4e0f1dac521853b2a6ae109ebbe44c6130d31eb0413535ba71e2f42f#"" rel=""nofollow"" class=""external""><br></a></p>
<p>We like big thinkers with small egos who believe in our goal to build a uniquely impactful, long-lasting tech company. Our vision is to fundamentally change forever how Internet businesses and their customers communicate.</p>","<h3>About the role</h3>
<p>Intercom (#URL_20af2fe8ac053b6b00899f54194d05671b21a09a25c94a4ed32a6295bb64d21b#) is a young, fast-paced and rapidly-growing tech startup based in San Francisco, California. Founded in 2011, weÃ¢ÂÂve now got an engineering and design base of about 35 people in Dublin. We expect that number to more than triple in 2014, and we are already expanding at a rate of 5+ per month in Dublin alone! We need a Talent Manager to take deep pride in streamlining and implementing our onboarding process and long-term HR, making sure that recent hires are adjusting well, and that seasoned veterans are increasingly happy with their place in our company.</p>
<p>Our Talent Manager will have an active hand in every part of the hiring process. ThisÃÂ role will evolve as we build out an in-house recruiting and HR team, and as we grow our company. Core responsibilities will include:</p>
<ul>
<li>Working with Recruiting team to develop and implement a highly personal and professional onboarding process, continuously soliciting feedback from new hires, and thinking about how to improve the cycle, from outreach to anniversaries,</li>
<li>Coordinating first-day activities for new hires, communicating with the team to make sure the welcoming process is warm and seamless,ÃÂ </li>
<li>Working with Recruiting Coordinator to make sure that the process between contract execution and first day moves along swiftly and smoothly, and that everything is ready to go in advance,</li>
<li>Helping to integrate new hires into the team and familiarize them with our culture before day 1.</li>
</ul><p></p>","<p>This is a very people-focused position representing our world-class team of ex Facebook, Google, PayPal, Apple and Yammer employees, and helping to maintain our culture and morale. The right fit will:</p>
<ul>
<li>Have at least 1 year of experience working in a human resources capacity, ideally in the tech industry,</li>
<li>Be capable of managing and focusing on many concurrent projects,</li>
<li>Be familiar with the internet industry and internet culture,</li>
<li>Have a Bachelor's degree</li>
</ul>","<p>Benefits include a competitive salary, stock options in Intercom, health insurance and 3 catered meals per day.</p>",f,t,t,Full-time,Associate,Bachelor's Degree,Internet,Human Resources,f,t
874,Front Office Manager/Reception,"US, FL, MIAMI",,,,<p>Our companyÃÂ is looking for a full time employee to manage our front desk.ÃÂ Experience in physical therapy or fitness facility is preferred. Organization and management skills are required. Candidates must be very personable and ready to interact with clients and patients. This job is a great opportunity to work in a dynamic healthy environment where physical therapy and fitness services merge together. Interest in health and fitness is an advantage.</p>,"<p>Mange &amp; train front desk staff providing services to guests in a friendly, efficient &amp; professional manner.ÃÂ <br>We are looking for anÃÂ <i>EXPERIENCED PERSON</i>ÃÂ with customer service and management skills, an enthusiastic personality who loves animals &amp; people!<br>Must have a minimum of an Associate's Degree.ÃÂ  Higher degrees are preferred.<br>Must have excellent communication skills, sales-abilities a plus.<br>Must have experience with heavy phones, customer service and an upbeat personality.<br>Computer knowledge required, will teach our program but must be proficient at Word &amp; Excel.</p>",,f,f,f,Full-time,Entry level,,Animation,Administrative,t,t
328,Parts Manager,"US, MA, Wilmington",Parts,,"<p>We are a family run business that has been in operation for nearly 40 years. ÃÂ We value long term relationships and want to have team members that can be treated like family. ÃÂ We are strong believers in a deal is a deal and we don't change pay plans after you crush it! ÃÂ We want our teammates to enjoy mutual success. ÃÂ We put the dealership first in everything we do. ÃÂ That means above the ownership or the associates. ÃÂ The needs of the Team are number one!</p>
<p>We are located in Wilmington MA -- 15 miles from downtown Boston. ÃÂ It's a great town with great people we have a primary market area of about 255,000 people. ÃÂ This means plenty of people to help with their transportation needs.</p>","<p>Bill Dube Hyundai in Wilmington MA just outside of Boston, is a growing Hyundai dealer that is building a team of driven professionals.</p>
<p>Our desired culture is about: constant personal and professional growth; a climate of accountability that directly challenges drama, entitlement and gossip; rewards enthusiasm, integrity and team play; where managers take responsibility for daily training and coaching; and where we all take responsibility for learning new things and improving our professional skills.</p>
<p><b><i>We value people that posses the following traits:</i></b></p>
<ul>
<li>Positive energy</li>
<li>Integrity</li>
<li>Honesty</li>
<li>Compassion</li>
<li>Loyalty</li>
<li>Strong sense of team</li>
<li>Desire to not just satisfy, but delight coworkers and customers</li>
<li>High levels of enthusiasm</li>
<li>Desire to constantly improve</li>
<li>High Standards</li>
<li>Desire to achieve the next level</li>
</ul><p></p>
<p><b><i>What we donÃ¢ÂÂt value:</i></b></p>
<ul>
<li>Teammates who feel entitled</li>
<li>Teammates who thrive on drama</li>
<li>Teammates who like to gossip</li>
<li>Teammates who are not reliable</li>
</ul>","<p>Great opportunity to work for a great dealer!</p>
<p>This job would be great for:</p>
<ul>
<li>experienced manager</li>
<li>Asst. manager looking to move upÃÂ </li>
</ul><p>Import experience preferred</p>
<p>Must be a hands on leader!</p>
<p>Great pay plan and great benefits!</p>",,f,t,f,Full-time,,,Automotive,Management,f,t
758,Data Entry Admin/Clerical Positions - Work From Home,"US, NV, Reno",,,,"<p>ACCEPTING ONLINE APPLICATIONS ONLY</p>
<p><a href=""#URL_355834be989baf102e6108409c8919edcae8f35073efacf5410d88e5d1b8f293#"">Click Here To Apply</a></p>
<p>ÃÂ </p>
<p>This is a Full Time Temporary Position Lasting for 2 years</p>
<p>Description</p>
<p>Validate and review legal contractual agreements for customers<br> Input contract into contract databases<br> All contracts completed &amp; reviewed within per-determined service level agreement<br> Professional e-mail interaction with customers<br> Scanning and uploading of documents</p>
<p>ÃÂ Qualifications</p>
<p>High School Diploma or Equivalent<br> Professional Communication Skills via e-mail interaction</p>
<p>Dedicated to the needs of the business<br> Project management skills to assist in facilitating multiple contract rejects<br> Detail oriented<br> Able to multi-task</p>
<p>Ability to work with time sensitive documents<br> Must be able to work independently but able to perform in a team environment when needed.<br> Fast and accurate typist</p>
<p>ÃÂ </p>
<p>ACCEPTING ONLINE APPLICATIONS ONLY</p>
<p><a href=""#URL_355834be989baf102e6108409c8919edcae8f35073efacf5410d88e5d1b8f293#"">Click Here To Apply</a></p>",,,f,f,f,,,,,,t,t
46,Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"GB, AGB, ",,,,"<p>We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.</p>
<p>Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!</p>
<p>- Set your own hours<br> - Make money every time you decide to work<br> - Work remotely from home<br> - Get paid weekly<br> - If you have a computer with internet, this is for you</p>","<p>Requirements</p>
<p>All you need is access to the Internet and you can participate.ÃÂ Computer with Internet access, valid email address, good typing skillsÃÂ  ÃÂ </p>
<p></p>
<p></p>","<p>This is an entry level position and we offer full online training. You do NOT need any special skills to get started.</p>
<p></p>
<p>Earn as much as you can doing data entry. <br><br> Complete Training provided before you start working and itÃ¢ÂÂs easy to start! <br> ________________________________________</p>
<p>DonÃ¢ÂÂt let this opportunity pass you by.</p>
<p>POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOW</p>",f,f,f,,,,,,t,t
733,Call Center Representative,"US, IL, CHICAGO",,1000-2000,,"<p>Duties and Responsibilities:</p>
<ol>
<li>
Answer Call Center incoming telephone calls, e-mail inquiries and instant message chats from clients and participants in a professional, courteous and timely manner.
</li>
<li>
Improve client satisfaction by providing high quality Customer Service and timely follow up and resolution of participant issues.
</li>
<li>
Identify benefit information and provide accurate and thorough information to all internal and external clients.
</li>
<li>
Document all calls in the designated call log to ensure timely follow up and problem resolution.
</li>
<li>
Answer all calls within two rings.
</li>
</ol>","<p>QUALIFICATIONS</p>
<ul>
<li>
<ul>
<li>High school diploma/GED required, college experience preferred</li>
<li>Must have ÃÂ at least two years experience in call center environment, outbound calling preferred.</li>
<li>Excellent communication skills</li>
</ul>
</li>
</ul>","<p><b>Compensation/benefits package includes:</b></p>
<ul>
<li>Comprehensive benefits package, including a 401k with matching</li>
<li>Competitive wages, based on education and experience</li>
</ul>",f,f,f,Full-time,Entry level,High School or equivalent,Telecommunications,Customer Service,t,t
573,QA Consultant ,"IN, , Hyderabad",QA,,"<p><i>We're an emerging technology agency, and we build breakthrough products through user-centered design.ÃÂ </i><i>We're building a team of the brightest minds in creative, engineering, and business because we love working with smart people.ÃÂ </i></p>
<p></p>","<p><b>Scope of Service :-ÃÂ </b></p>
<p>1. Ramp up on the projects and tools with one week:</p>
<ul>
<li>Use our tools: Qmetry, JIRA, Xcode, Launchpad at the end of the ramp-up week</li>
<li>Understand the applications and flows of the project at the end of the ramp-up weekÃÂ </li>
</ul><p>2. ÃÂ Contribute to testing after the first week with minimal supervision</p>
<ul>
<li>Identify gaps in the acceptance criteria during the grooming session</li>
<li>Design test cases and provide test objectives before the sprint planning</li>
<li>Provide test estimation (time for test case creation, execution and setup) during the sprint planning</li>
<li>Write test cases during the sprint</li>
<li>Execute test cases and verify bugs during the sprintÃÂ </li>
</ul><p>3. ÃÂ Contribute to finding and preventing bugs</p>
<ul>
<li>Find software defects</li>
<li>Analyze the impact of them to the system and end users</li>
<li>Report the defects with clear and enough information to the project in JIRA and during the in-person discussion</li>
</ul><p></p>
<ul>
<li>Report the pattern of bug occurrence and suggest way to prevent themÃÂ </li>
</ul><p>4. ÃÂ Understand and follow Mutual Mobile processes</p>
<ul>
<li>Enter work hours daily to harvest system</li>
<li>Attend stand-up meetings and other relevant meetings to the projects</li>
<li>Report time off in advance</li>
<li>Finish assigned work on-time and report immediately if things do not go as plannedÃÂ </li>
</ul><p>5.ÃÂ Provide clear communication</p>
<ul>
<li>Provide clear communication of the daily status and plan during the stand-up</li>
<li>Provide clear communication of the defects</li>
</ul><p>6. ÃÂ  ÃÂ Provide feedback and continuous improvement</p>
<ul>
<li>Provide feedback on the project and processes</li>
<li>Be proactive on getting project work instead of waiting for assignments</li>
<li>Be able to suggest potential solutions when running into issues or roadblocks.ÃÂ </li>
</ul>","<ul>
<li>Can write and review Test Cases.</li>
<li>Can do test strategies and execute Test plans.</li>
<li>Strong in Manual Testing</li>
</ul><p>ÃÂ </p>",,f,t,t,Contract,Mid-Senior level,Unspecified,Computer Software,Quality Assurance,f,t
367,Business Development Manager (Partnerships),"GB, LND, London",Partnerships,,"<p>MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is EuropeÃ¢ÂÂs leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.</p>
<p>Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.</p>
<p>You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.</p>","<p><b>THE COMPANY</b></p>
<p>MarketInvoice is one of the countryÃ¢ÂÂs most high-profile fin-tech companies. The Company is EuropeÃ¢ÂÂs leading P2P invoice finance platform, allowing SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.</p>
<p>Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.</p>
<p>Based in our Holborn office, you will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.</p>
<p></p>
<p><b>At MarketInvoice you will</b></p>
<ul>
<li>Have a meaningful impact on the company's future</li>
<li>Work in a fun, dynamic environment that has innovation at its core</li>
<li>Be part of a motivated team and work with people who get stuff done</li>
</ul><p></p>
<p><b>THE ROLE</b></p>
<p>The successful candidate will be responsible for building commercial partnerships in the South, driving new business and lead flow through the MarketInvoice sales team.</p>
<p>This person will be well connected and versed in the commercial finance and advisory space, a polished communicator and hungry to make a big impact within a growing, disruptive finance business.</p>
<p></p>
<p><b>DUTIES &amp; RESPONSIBILITIES</b></p>
<ul>
<li>
<b>Partner acquisition strategy: </b>Help devise and execute a near-medium term strategy for growing MarketInvoiceÃ¢ÂÂs partner sales channel.</li>
</ul><ul>
<li>
<b>Drive new business:</b> Build a network of engaged partners across the UK, ensuring that they are referring a significant flow of inbound leads on a monthly basis. Utilise your prior industry experience and contacts to ensure our product and processes are well understood amongst the relevant stakeholder groups.</li>
</ul><ul>
<li>
<b>Stakeholder Management/Retention:</b> Nurture relationships with existing and new partners that come on board. Ensure MarketInvoice is front of mind and keep them updated on new products and features. Work closely with the Sales team at all times to ensure Brokers are kept up to date on the businesses they have introduced.</li>
</ul><ul>
<li>
<b>Partner marketing &amp; PR:</b> Work with the Marketing and PR team to design and execute effective campaigns targeted at the specific partner verticals.</li>
</ul><ul>
<li>
<b>Events &amp; Presentations:</b>ÃÂ  Be the MarketInvoice spokesperson and representative at relevant industry events. These will include presentations, talks, round tables and panel discussions.</li>
</ul>","<p><b>ÃÂ </b></p>
<ul>
<li>
<b>Communications skills</b>: An ability to present the business in a compelling fashion to a wide range of stakeholders Ã¢ÂÂ including senior executives. Good public speaking skills a definite advantage.</li>
</ul><ul>
<li>
<b>Stakeholder management:</b> Strong interpersonal skills with an ability to manage and build trusted, lasting and fruitful relationships.</li>
</ul><ul>
<li>
<b>Business acumen</b>: The ability to spot a good opportunity and the intelligence and creativity required to bring it to life.</li>
</ul><ul>
<li>
<b>Sector Experience:</b> A background in commercial finance and/or corporate advisory sectors is a definite advantage.</li>
</ul><ul>
<li>
<b>A cross-functional team player:</b> An ability to work well across various departments such as technology, risk, operations, marketing and sales. Working effectively with the sales team to ensure Partner leads are converted as quickly and seamlessly as possible will be vital.</li>
</ul>","<ul>
<li>Full time role based in our Holborn office</li>
<li>Competitive basic salary + uncapped commission structure based on lead-flow and revenue.</li>
<li>Car allowance (if required)</li>
<li>Private healthcare coverage included</li>
<li>The opportunity to progress your career at one of the UKÃ¢ÂÂs hottest FinTech companies.</li>
</ul>",f,t,t,Full-time,Mid-Senior level,,Financial Services,Sales,f,t
598,Casual job/Immediate start ,"AU, , ",,,,"<p>ÃÂ Looking forÃÂ  work?</p>
<p>We are looking for a self motivate and energetic person to join our team.</p>
<p>The role is based in Sydney.</p>
<p>ÃÂ </p>
<p>ÃÂ - Weekly earnings - $400 - $450</p>
<p>ÃÂ - No experience necessary</p>
<p>ÃÂ - Training provided</p>
<p>ÃÂ  - GREAT TEAM CULTURE AND IMMEDIATE START!!!</p>
<p>ÃÂ </p>
<p>MUST BE 18+ TO APPLY</p>
<p>PART TIME POSITION,ÃÂ  MUST BE AVAILABLE MON-FRI</p>
<p>ÃÂ </p>
<p>ÃÂ You will be expected to have excellent communication skills and a hunger for success. Applicants must be permanent Australian residents Ã¢ÂÂ ideally seeking a permanent opportunity.</p>
<p>ÃÂ </p>
<p>We are looking forward for your CV with your full name and e-mail at #EMAIL_0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c#</p>","<p>ÃÂ - No experience necessary</p>
<p>ÃÂ - Training provided</p>",<p>ÃÂ  - GREAT TEAM CULTURE AND IMMEDIATE START!!!</p>,f,f,f,,,,,,t,t
851,administrative assistant,"US, MD, Baltimore",admin,15-19,,"<p>ÃÂ  Giromax technologyÃÂ <a><b> </b></a>is currently looking for an Administrative Assistant to provide timely and accurate clerical support in a fast-paced office environment. Position involves dealing with managers and other office support positions. Basic duties involve photocopying, filing, answering phones, managing all incoming and outgoing mail, and composing letters, memos and proposals. Additional responsibilities include preparing daily/weekly/monthly/quarterly reports and setting up group meetings and conferences for managers and partners. All functions will be done in person, via phone, or e-mail.</p>
<p></p>
<p></p>
<p></p>
<p></p>","<p>-Some College</p>
<p>-VERY Detail Oriented and well organized</p>
<p>-Proficient in Microsoft Office Package (Word, Outlook, Powerpoint, and Excel)</p>
<p>-Can learn quickly and retain the information (looking for a candiate that takes notes!)</p>
<p>-Must be confident on the phone (with clients and underwriters)</p>
<p>-Able to take direction &amp; instruction</p>","<ul>
<li>Competitive pay &amp; benefits</li>
<li>Excellent on-boarding and on-going training</li>
<li>Accrued paid time off</li>
<li>Tuition reimbursement for full-time employees</li>
<li>Free meal per shift</li>
</ul>",f,f,f,Full-time,Entry level,,Accounting,Administrative,t,t
206,Mentors,"GB, , london",,,"<p>Adthena is the UKÃ¢ÂÂs leading competitive intelligence service for Google search advertisers. Adthena is loved by major brands and digital agencies alike and provides a great opportunity to work in the high growth adtech space. Our patent-pending technologies provide unparalleled accuracy for clients to understand their competitorsÃ¢ÂÂ keywords, budgets, spend, CPCs, Adcopy and more. We're profitable, fast growing and love what we do.</p>",<p>This is a job description for mentors to the various team leaders at Adthena</p>,<p>Experience with B2B software Saas businesses</p>,,f,t,f,Part-time,,,,,f,t
11,Data Entry Admin/Clerical Positions - Work From Home,"US, CA, Vallejo",,,,"<p>ACCEPTING ONLINE APPLICATIONS ONLY</p>
<p><a href=""#URL_355834be989baf102e6108409c8919edcae8f35073efacf5410d88e5d1b8f293#"">Click Here To Apply</a></p>
<p>ÃÂ </p>
<p>This is a Full Time Temporary Position Lasting for 2 years</p>
<p>Description</p>
<p>Validate and review legal contractual agreements for customers<br> Input contract into contract databases<br> All contracts completed &amp; reviewed within per-determined service level agreement<br> Professional e-mail interaction with customers<br> Scanning and uploading of documents</p>
<p>ÃÂ Qualifications</p>
<p>High School Diploma or Equivalent<br> Professional Communication Skills via e-mail interaction</p>
<p>Dedicated to the needs of the business<br> Project management skills to assist in facilitating multiple contract rejects<br> Detail oriented<br> Able to multi-task</p>
<p>Ability to work with time sensitive documents<br> Must be able to work independently but able to perform in a team environment when needed.<br> Fast and accurate typist</p>
<p>ÃÂ </p>
<p>ACCEPTING ONLINE APPLICATIONS ONLY</p>
<p><a href=""#URL_355834be989baf102e6108409c8919edcae8f35073efacf5410d88e5d1b8f293#"">Click Here To Apply</a></p>",,,f,f,f,,,,,,t,t
133,Environmental Compliance Manager,"US, TX, Houston",Water Treatment,0-0,,"<p><b>Summary</b></p>
<p>Under the direction of the management team the Compliance Manager manages day to day regulatory compliance and related functions for the CompanyÃ¢ÂÂs facilities. The Manager also manages the regulatory process for planned facilities.</p>
<p><b>Responsibilities:</b></p>
<p>Ã¢ÂÂ¢ Conduct formal and systematic reviews of facilities to ensure compliance with federal and state regulations for environmental affairs and health and safety.</p>
<p>Ã¢ÂÂ¢ Identify problems and recommends corrections; priorities and conducts follow-ups on corrections regarding areas of non-compliance or potential non-compliance.</p>
<p>Ã¢ÂÂ¢ÃÂ Maintains compliance database and appropriate record keeping.</p>
<p>Ã¢ÂÂ¢ Advise corporate and facility management regarding procedural and operational measures to be taken to correct or minimize non-compliant activities with regard to environmental regulations.</p>
<p>Ã¢ÂÂ¢ Prepare and maintain the required environmentally related plans and procedures for the facility.</p>
<p>Ã¢ÂÂ¢ Prepare reports and documents as required by regulatory agencies and corporate and facility management.</p>
<p>Ã¢ÂÂ¢ Apply for original permits and maintain a schedule for renewals, reporting and provisions of all required environmentally related permits.</p>
<p>Ã¢ÂÂ¢ Serve as liaison between facilities and outside contractors, and regulatory personnel on all environmentally related activities. Coordinates and accompanies regulatory personnel during all facility inspections. Coordinate environmental audits of each facility by customers.</p>
<p>Ã¢ÂÂ¢ Act as an alternate Emergency Coordinator by responding to significant accidents, incidents, and complaints. Prepares and submits all required notifications/reports in a timely manner in the event of the implementation of the Contingency Plan.</p>
<p>Ã¢ÂÂ¢ Attend workshops, seminars, training courses and professional development programs for the purpose of insuring compliance with upcoming changes in federal, state and local rules and regulations.</p>
<p>Ã¢ÂÂ¢ Provide responses to compliance, sales, field personnel and customers concerning federal, state and local environmental regulations.</p>
<p>Ã¢ÂÂ¢ Perform audits of internal and external facilities to ensure effectiveness of compliance programs.</p>
<p>Ã¢ÂÂ¢ Perform other assignments as assigned by management.</p>
<p>ÃÂ </p>
<p></p>","<p><b>Requirements:</b></p>
<p>Ã¢ÂÂ¢ BachelorÃ¢ÂÂs degree in Environmental Science or related field (Alternate combinations of education and experience may be considered in lieu of degree)</p>
<p>Ã¢ÂÂ¢ 5+ years of Environmental Compliance experience</p>
<p>Ã¢ÂÂ¢ Knowledge of Department of Transportation (DOT), NJDEP and Environmental Protection Agency (EPA) laws/regulations required</p>
<p>Ã¢ÂÂ¢ Excellent verbal and written communication skills</p>
<p>Ã¢ÂÂ¢ Excellent organizational skills</p>
<p>Ã¢ÂÂ¢ Detailed waste water and oilfield regulatory knowledge preferred</p>",,t,t,f,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,f,t
632,Daily Money Team Representative,"US, , ",Work at home,,"<p><b>Daily Money Team</b>ÃÂ is the industry leader for the innovation of money making systems, providing reliable work for thoseÃÂ who need a job.<br><br></p>
<p><b>The Mission</b>ÃÂ is to improve our communities and economy byÃÂ supplying jobs to individuals in need of reliable income.ÃÂ <br><br></p>
<p><b>Our Vision</b>ÃÂ is to be the first internet based company to produce work for one million people by 2015.</p>","<p>Looking for customer service reps who want to work from home<br />make 80 - 100 dollars a day posting ads on the internet and taking calls. (NO START UP FEES. NO MONEY IS REQUIRED.)<br />(<a href=""#URL_57131ad84f343e02776f18ac90fe932b74c17337e2cc0522bbe49aedb1e74081#"" target=""_blank"">#URL_9c99ae0c36e6544b08addd33c9b653be8dcd9a4a06227741b5c99f0fcc6bc505#</a>). YOU DON'T HAVE TO SPEND ANY MONEY IF YOU DON'T WANT TO FOR THIS JOB.<br />If interested give me a call.ÃÂ <br /><br /><br />Jibre Hordges<br />Daily Money Team<br /><a target=""_blank"">#PHONE_cbe7e0d5a1e0b8fa567c655c73615fb22beaa3efa347a55d2177d51fa2b52666#</a></p>",<p>Must be articulate and able to communicate over the phone. Have customer service skills.</p>,<p>$20-100 per referral. Make up to $100/day</p>,t,t,t,,,,,,t,t
881,Customer Service Representative,"US, PA, Philadelphia",Customer Service,30000-50000,"<p>Gary Cartwright established Cartwright Property Management in 2007 to help manage the HOAs that were created when his development company would develop a residential or multi-family community.ÃÂ </p>
<p>He has developed numerous single-family, duplex, townhome and apartment communities.ÃÂ Gary is a General Contractor holding an Unlimited Building license and he is a licensed real estate agent in North Carolina. Gary is also a partner in a sister real estate company.ÃÂ </p>
<p>His experience as a builder, developer, and real estate sales company owner will be beneficial in assisting his rental and HOA clients in managing their rentals and HOA communities.</p>","<p>We are Seeking a candidate whose core values include integrity, compassion and responsibility, andÃÂ is focused on building quality relationships with our clients. Candidates mustÃÂ  have outstanding organizational skills, capable of responding promptly to customer needs while managing duties with accuracy and thoroughness. Candidates must also be able to work from home with a minimal amount of supervision.</p>","<p>Home Computer with Internet Access</p>
<p>Basic Computer Skills</p>
<p>A Headset</p>","<p>Weekly pay, PTO, Paid Holidays, 401 k</p>",t,t,f,Full-time,Entry level,High School or equivalent,Real Estate,Customer Service,t,t
170,Community Manager,"US, WA, Seattle",,,"<p>Keycafe is the leading key exchange solution for Airbnb hosts, property managers and real estate agents. ÃÂ We have over 100 cafe partners in Vancouver, New York, and San Francisco and are adding new cafes every week. ÃÂ Keycafe allows anyone to share their keys securely and conveniently and is empowering the sharing economy.ÃÂ  Keycafe is headquartered in Gastown. ÃÂ We are growing our team rapidly and can offer growth opportunities to individuals with a passion for business and technology. ÃÂ At this stage, every team member plays a critical role in the company. ÃÂ We are looking for candidates who are committed to excellence and excited about the potential for our technology.</p>","<p>Keycafe is looking for an exceptional, highly motivated part-time contractor to lead the launch of our rapidly expanding service in Seattle.ÃÂ  You will manage Keycafe partners and users locally, corresponding remotely with the Keycafe office in Vancouver, Canada.</p>
<p>You will visit our Keycafe partners to train staff on how to operate the Keycafe service, as well as educate them on how to provide the best possible experience for our Keycafe customers.ÃÂ  You will also liaise with our partner locations to ensure that they understand how to get the most benefit out of the Keycafe service and ensure that they are continually informed of our progress.</p>
<p>You will connect with our end users by hosting meetups at our partner locations. You will engage in education of our service to our target groups.</p>
<p>You will provide on-the-ground customer service to both our partner locations and our end users, which could include visiting locations and troubleshooting systems.ÃÂ  Finally, you will take on new cafe acquisition through in-person and phone meetings with cafe owners.</p>","<ul>
<li>Previous community management experience is an asset, but not required if you have the right attitude and personality.</li>
<li>You are a self-starter, able to work independently, plan your daily duties and organize your tasks to work as efficiently as possible.</li>
<li>You are friendly and outgoing, able to engage with partner location owners and staff as well as the general public to get them excited about our service.</li>
<li>Post-secondary education is preferred.</li>
<li>A car will make your job easier and save you time, but is not required.</li>
</ul>","<ul>
<li>The chance to grow with a rising company</li>
</ul>",t,t,f,Part-time,Entry level,High School or equivalent,Internet,Customer Service,f,t
614,Sales/marketing/advertising,"AU, QLD, Gold coast",,,,<p>sales professionals marketing and advertisingÃÂ in the personal development industryÃÂ . work anywhere from home with your laptop and phone.</p>,<p>self-directed / highly motivated / positive manner and a hunger to succeed</p>,"<p>Full training and support / Fun, rewarding and engaging / potential to earn unlimited income</p>",f,f,t,Part-time,Not Applicable,Unspecified,Marketing and Advertising,Sales,t,t
585,Cash Job Opportunity To Immediate Start.,"AU, NSW, Sydney",,,,"<p>Cash Job Opportunity To Immediate Start. No Experience Required And Never Any Fees. Work Anytime 1 To 2 Hrs Daily In Free Time. Earn Easily $400 To $500 Extra Per Day. Totally Free To Join &amp; Suitable For All. Take Action &amp; Get Started Here:- <a href=""#URL_3642a95d0b2308884802999b8ba4f004b69950c970d00995af84c2270b7b570c#"" rel=""nofollow"" class=""external"">#URL_3642a95d0b2308884802999b8ba4f004b69950c970d00995af84c2270b7b570c#</a></p>",,,f,f,f,Part-time,,,,,t,t
